Wavelength,Intensity,Wavelength,Intensity,Wavelength,Intensity
775.75068,0.0045,780.03229,0.00425,775.75068,-0.02382
775.79094,0.00458,780.04087,0.00465,775.79094,-0.02545
775.8312,0.00457,780.04946,0.00476,775.8312,-0.0172
775.87146,0.00449,780.05805,0.00529,775.87146,-0.00904
775.91172,0.00464,780.06664,0.00572,775.91172,-0.01123
775.95198,0.00471,780.07523,0.00467,775.95198,-0.02266
775.99224,0.00482,780.08382,0.0046,775.99224,-0.02741
776.03249,0.00469,780.09241,0.00545,776.03249,0.00102
776.07275,0.00478,780.101,0.00491,776.07275,0.00673
776.11301,0.00473,780.10958,0.00567,776.11301,-0.00814
776.15326,0.00488,780.11817,0.00565,776.15326,-0.01234
776.19352,0.0049,780.12676,0.00698,776.19352,-0.01781
776.23378,0.00469,780.13534,0.00667,776.23378,-5.42E-06
776.27403,0.00488,780.14393,0.00617,776.27403,-0.00522
776.31429,0.00502,780.15252,0.00696,776.31429,-0.00545
776.35454,0.00511,780.1611,0.00661,776.35454,0.01739
776.39479,0.00508,780.16969,0.00622,776.39479,0.01934
776.43505,0.00493,780.17827,0.00653,776.43505,-0.01312
776.4753,0.00514,780.18686,0.0057,776.4753,-0.01157
776.51555,0.0052,780.19544,0.00694,776.51555,-0.01023
776.55581,0.00511,780.20402,0.00626,776.55581,-0.0362
776.59606,0.00545,780.21261,0.006,776.59606,-0.01428
776.63631,0.00539,780.22119,0.0063,776.63631,-0.02325
776.67656,0.00538,780.22978,0.00644,776.67656,-0.04461
776.71681,0.00549,780.23836,0.0062,776.71681,-0.01001
776.75706,0.00552,780.24694,0.00503,776.75706,-2.98E-04
776.79731,0.00541,780.25552,0.00561,776.79731,0.01439
776.83756,0.00563,780.26411,0.00621,776.83756,0.00521
776.87781,0.00577,780.27269,0.00633,776.87781,0.01621
776.91806,0.00579,780.28127,0.00656,776.91806,0.00566
776.95831,0.00589,780.28985,0.00574,776.95831,-0.00494
776.99856,0.00585,780.29843,0.00483,776.99856,-0.02653
777.0388,0.00603,780.30701,0.00515,777.0388,-0.00615
777.07905,0.00611,780.31559,0.00582,777.07905,-0.02428
777.1193,0.00607,780.32417,0.00553,777.1193,-0.02635
777.15954,0.00589,780.33275,0.00586,777.15954,-0.00497
777.19979,0.00604,780.34133,0.00751,777.19979,-0.00312
777.24004,0.00614,780.34991,0.00718,777.24004,-0.01019
777.28028,0.00617,780.35849,0.0064,777.28028,0.00412
777.32053,0.00624,780.36707,0.00737,777.32053,-0.00748
777.36077,0.00627,780.37564,0.00728,777.36077,-0.01964
777.40101,0.00657,780.38422,0.00776,777.40101,-0.00365
777.44126,0.00677,780.3928,0.00811,777.44126,-0.01485
777.4815,0.00666,780.40138,0.00903,777.4815,0.0234
777.52174,0.00676,780.40995,0.00957,777.52174,-0.0022
777.56199,0.00675,780.41853,0.00876,777.56199,1.52E-04
777.60223,0.0068,780.42711,0.01003,777.60223,-9.38E-04
777.64247,0.0069,780.43568,0.00947,777.64247,-0.02349
777.68271,0.00682,780.44426,0.01015,777.68271,-0.00862
777.72295,0.00688,780.45283,0.00945,777.72295,0.00326
777.76319,0.00661,780.46141,0.01068,777.76319,0.00709
777.80343,0.00658,780.46998,0.0111,777.80343,0.00477
777.84367,0.00683,780.47856,0.01151,777.84367,-0.00483
777.88391,0.00711,780.48713,0.01055,777.88391,-0.00242
777.92415,0.00699,780.49571,0.01098,777.92415,0.0089
777.96439,0.00701,780.50428,0.01151,777.96439,0.0208
778.00463,0.00718,780.51285,0.01143,778.00463,0.00676
778.04487,0.00718,780.52143,0.01153,778.04487,-0.02331
778.0851,0.00755,780.53,0.01135,778.0851,-0.0165
778.12534,0.00765,780.53857,0.01203,778.12534,-0.02037
778.16558,0.00777,780.54714,0.01217,778.16558,0.01285
778.20581,0.00785,780.55571,0.01272,778.20581,0.02391
778.24605,0.00802,780.56429,0.01172,778.24605,0.00264
778.28628,0.00814,780.57286,0.01128,778.28628,-0.02187
778.32652,0.00814,780.58143,0.01227,778.32652,-0.01016
778.36675,0.00826,780.59,0.0125,778.36675,-0.00966
778.40699,0.00835,780.59857,0.01273,778.40699,-0.00624
778.44722,0.00841,780.60714,0.01302,778.44722,0.02196
778.48746,0.00853,780.61571,0.01327,778.48746,7.59E-04
778.52769,0.00846,780.62428,0.01355,778.52769,-0.00786
778.56792,0.00826,780.63285,0.01454,778.56792,-0.00491
778.60815,0.00805,780.64142,0.01444,778.60815,0.01475
778.64839,0.00815,780.64998,0.01486,778.64839,-0.00223
778.68862,0.00838,780.65855,0.01453,778.68862,0.00519
778.72885,0.00831,780.66712,0.01639,778.72885,-0.00123
778.76908,0.00814,780.67569,0.01614,778.76908,-0.00533
778.80931,0.00812,780.68426,0.01531,778.80931,-0.01017
